"lang"
{
	"Language"		"English"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_greaves.txt' begin 
"DOTA_Tooltip_Ability_item_angels_greaves"						"Angels Greaves"
"DOTA_Tooltip_Ability_item_angels_greaves_Description"			"Active: Restore 600 + 30 percent of your MAX HP and 300 and 40 percent of your MAX MANA for any allies in  a 900 radius .\Passive: Angel's Bless Aura - Impoved health regen and armor\n\nCan be used once every 30sec."
"DOTA_Tooltip_Ability_item_angels_greaves_movespeed"			"%+$move_speed"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_mana"			"+$mana"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_att"			"+$all"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_armor"			"ARMOR AURA:"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_hpregen"			"HP REGEN AURA:"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_radius"			"RADIUS AURA:"		

"DOTA_Tooltip_modifier_item_angels_greaves_aura"				"Angels Greaves Aura"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_greaves.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_sword.txt' begin 
"DOTA_Tooltip_Ability_item_angels_sword"							"Angels Sword"
"DOTA_Tooltip_Ability_item_angels_sword_Description"				"<h1>Active: Angels Shield</h1> Blocks incoming magic damage.\nSword of angels. Can block magical damage."
"DOTA_Tooltip_Ability_item_angels_sword_bonus_damage"				"+$damage"
"DOTA_Tooltip_Ability_item_angels_sword_sheild_duration"			"SHIELD DURATION:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_sword.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\armlet.txt' begin 
"DOTA_Tooltip_Ability_item_armlet_2"							"Armlet of Mordiggian"
"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength"			"Unholy Strength"
"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nStrength increased by 25.\nLosing %dMODIFIER_PROPERTY_TOOLTIP% health per second."
"DOTA_Tooltip_ability_item_armlet_2_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
"DOTA_Tooltip_ability_item_armlet_2_Description"				"<h1>Active: Toggle Unholy Strength</h1> When active, Unholy Strength grants +%unholy_bonus_damage% damage and +%unholy_bonus_strength% strength, but drains %unholy_health_drain_per_second_tooltip% health per second.  You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
"DOTA_Tooltip_ability_item_armlet_2_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_armlet_2_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_armlet_2_bonus_armor"				"+$armor"
"DOTA_Tooltip_ability_item_armlet_2_bonus_health_regen"			"+$hp_regen"

"DOTA_Tooltip_Ability_item_armlet_3"							"Armlet of Mordiggian"
"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength"			"Unholy Strength"
"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nStrength increased by 25.\nLosing %dMODIFIER_PROPERTY_TOOLTIP% health per second."
"DOTA_Tooltip_ability_item_armlet_3_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
"DOTA_Tooltip_ability_item_armlet_3_Description"				"<h1>Active: Toggle Unholy Strength</h1> When active, Unholy Strength grants +%unholy_bonus_damage% damage and +%unholy_bonus_strength% strength, but drains %unholy_health_drain_per_second_tooltip% health per second.  You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
"DOTA_Tooltip_ability_item_armlet_3_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_armlet_3_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_armlet_3_bonus_armor"				"+$armor"
"DOTA_Tooltip_ability_item_armlet_3_bonus_health_regen"			"+$hp_regen"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\armlet.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\awful_mask.txt' begin 
"DOTA_Tooltip_Ability_item_awful_mask"								"Awful Mask"
"DOTA_Tooltip_Ability_item_awful_mask_Description"					"<h1>Passive: Lifesteal</h1> Heals the attacker for a percentage of attack damage dealt.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_awful_mask_bonus_damage"					"+$damage"
"DOTA_Tooltip_Ability_item_awful_mask_bonus_armor"					"+$armor"
"DOTA_Tooltip_Ability_item_awful_mask_bonus_str"					"+$str"
"DOTA_Tooltip_Ability_item_awful_mask_bonus_health"					"+$health"
"DOTA_Tooltip_Ability_item_awful_mask_lifesteal"					"%Lifesteal:"
"DOTA_Tooltip_Ability_item_awful_mask_dummy"						"Awful Mask"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_Description"			"<h1>Passive: Lifesteal</h1> Heals the attacker for a percentage of attack damage dealt.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_bonus_damage"			"+$damage"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_bonus_str"				"+$str"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_awful_mask_dummy_lifesteal"				"%Lifesteal:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\awful_mask.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\azrael_crossbow.txt' begin 
"DOTA_Tooltip_ability_item_azrael_crossbow"							"Azrael Crossbow"
"DOTA_Tooltip_ability_item_azrael_crossbow_Description"				"<h1>Passive: Critical Strike</h1> Grants each attack a chance to deal additional damage.\n\n<h1>Passive: Double Shot</h1> The attacks of ranged heroes strike the enemy twice.\n\nWeapon of the Burning Legion."
"DOTA_Tooltip_ability_item_azrael_crossbow_bonus_damage"			"+$damage"
"DOTA_Tooltip_ability_item_azrael_crossbow_crit_chance"				"%CRIT CHANCE:"
"DOTA_Tooltip_ability_item_azrael_crossbow_crit_bonus"				"%CRIT DAMAGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\azrael_crossbow.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\battle_fury.txt' begin 
"DOTA_Tooltip_ability_item_bfury_2"								"Battle Fury"
"DOTA_Tooltip_ability_item_bfury_2_Description"					"<h1>Active: Chop Tree</h1> Destroy the targeted tree.\n<h1>Passive: Greater Maim</h1> Each attack has a chance to slow the enemy's movement and attack speed.\n<h1>Passive: Cleave</h1> Deals a percent of attack damage in an area around the target. Ranged units cannot Cleave.\n<h1>Passive: Quell</h1> Increases attack damage against non-hero units, based on whether the equipped hero is ranged or melee. Does not provide bonus damage against Roshan. "
"DOTA_Tooltip_ability_item_bfury_2_bonus_agility"				"+$agi"
"DOTA_Tooltip_ability_item_bfury_2_bonus_str"					"+$str"
"DOTA_Tooltip_ability_item_bfury_2_bonus_speed"					"%+$move_speed"
"DOTA_Tooltip_ability_item_bfury_2_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_bfury_2_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_bfury_2_curse_chance"				"%CURSE CHANCE:"
"DOTA_Tooltip_ability_item_bfury_2_curse_duration"				"DURATION:"
"DOTA_Tooltip_ability_item_bfury_2_curse_attackspeed"			"CURSE ATTACKSLOW:"
"DOTA_Tooltip_ability_item_bfury_2_curse_slow"					"%CURSE SPEED SLOW:"
"DOTA_Tooltip_ability_item_bfury_2_cleave"						"%CLEAVE:"
"DOTA_Tooltip_ability_item_bfury_2_cleave_radius"				"CLEAVE RADIUS:"
"DOTA_Tooltip_ability_item_bfury_2_mp_regen"					"+$mana_regen"
"DOTA_Tooltip_ability_item_bfury_2_health_regen"				"+$hp_regen"
"DOTA_Tooltip_ability_item_bfury_2_quelling_bonus"				"%QUELL MELEE DAMAGE:"
"DOTA_Tooltip_ability_item_bfury_2_quelling_bonus_ranged"		"%QUELL RANGED DAMAGE:"

"DOTA_Tooltip_ability_item_demons_fury"							"Demons Fury"
"DOTA_Tooltip_ability_item_demons_fury_Description"				"<h1>Active: Chop Tree</h1> Destroy the targeted tree.\n<h1>Passive: Demons Maim</h1> Each attack has a chance to slow the enemy's movement and attack speed.\n<h1>Passive: Cleave</h1> Deals a percent of attack damage in a area around the target. Ranged units cannot Cleave.\n<h1>Passive: Quell</h1> Increases attack damage against non-hero units, based on whether the equipped hero is ranged or melee."
"DOTA_Tooltip_ability_item_demons_fury_bonus_agility"			"+$agi"
"DOTA_Tooltip_ability_item_demons_fury_bonus_str"				"+$str"
"DOTA_Tooltip_ability_item_demons_fury_bonus_speed"				"%+$move_speed"
"DOTA_Tooltip_ability_item_demons_fury_bonus_attack_speed"		"+$attack"
"DOTA_Tooltip_ability_item_demons_fury_bonus_damage"			"+$damage"
"DOTA_Tooltip_ability_item_demons_fury_curse_chance"			"%CURSE CHANCE:"
"DOTA_Tooltip_ability_item_demons_fury_curse_duration"			"DURATION:"
"DOTA_Tooltip_ability_item_demons_fury_curse_attackspeed"		"CURSE ATTACKSLOW:"
"DOTA_Tooltip_ability_item_demons_fury_curse_slow"				"%CURSE SPEED SLOW:"
"DOTA_Tooltip_ability_item_demons_fury_cleave"					"%CLEAVE:"
"DOTA_Tooltip_ability_item_demons_fury_cleave_radius"			"CLEAVE RADIUS:"
"DOTA_Tooltip_ability_item_demons_fury_mp_regen"				"+$mana_regen"
"DOTA_Tooltip_ability_item_demons_fury_health_regen"			"+$hp_regen"
"DOTA_Tooltip_ability_item_demons_fury_quelling_bonus"			"%QUELL MELEE DAMAGE:"
"DOTA_Tooltip_ability_item_demons_fury_quelling_bonus_ranged"	"%QUELL RANGED DAMAGE:"
"DOTA_Tooltip_ability_item_demons_fury_disarmor"				"DISARMOR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\battle_fury.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\blessed_essence.txt' begin 
"DOTA_Tooltip_Ability_item_blessed_essence"							"Blessed Essence"
"DOTA_Tooltip_Ability_item_blessed_essence_Description"				"Blessed essence that is used to create weapons for the burning legion.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_blessed_essence_bonus_damage"			"+$damage"
"DOTA_Tooltip_Ability_item_blessed_essence_bonus_armor"				"+$armor"
"DOTA_Tooltip_Ability_item_blessed_essence_dummy"					"Blessed Essence"
"DOTA_Tooltip_Ability_item_blessed_essence_dummy_Description"		"Blessed essence that is used to create weapons for the burning legion.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_blessed_essence_dummy_bonus_damage"		"+$damage"
"DOTA_Tooltip_Ability_item_blessed_essence_dummy_bonus_armor"		"+$armor"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\blessed_essence.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\burning_blades.txt' begin 
"DOTA_Tooltip_ability_item_burning_blades"							"Burning Blades"
"DOTA_Tooltip_ability_item_burning_blades_Description"				"<h1>Passive: Burning Maim</h1> Each attack has a chance to slow the enemy's movement and attack speed.\n<h1>Passive: Burning Corruption</h1> Your attacks reduce target's armor.\n\nWeapons of Burning Legion"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_damage"    			"+$damage"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_str"     			"+$str"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_agility"    		"+$agi"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_speed"    			"%+$move_speed"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_attack_speed"  		"+$attack"
"DOTA_Tooltip_Ability_item_burning_blades_curse_chance"    			"%CURSE CHANCE:"
"DOTA_Tooltip_Ability_item_burning_blades_cuse_duration"    		"CURSE DURATION:"
"DOTA_Tooltip_Ability_item_burning_blades_curse_slow"    			"%CURSE SLOW:"
"DOTA_Tooltip_Ability_item_burning_blades_curse_attackspeed"  		"CURSE SLOW ATTACK:"
"DOTA_Tooltip_Ability_item_burning_blades_bonus_armor"				"ARMOR REDUCE:"
"DOTA_Tooltip_Ability_item_burning_blades_duration"					"REDUCE DURATION:"

"DOTA_Tooltip_modifier_burning_blades_desolator_armor"				"Burning Corruption"
"DOTA_Tooltip_modifier_curse_burning_blades"       					"Cursed!"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\burning_blades.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\burning_butterfly.txt' begin 
"DOTA_Tooltip_Ability_item_burning_butterfly"					"Burning Butterfly"
"DOTA_Tooltip_Ability_item_burning_butterfly_Description"		"A Sacred weapon which provides an incredible amount of dexterity and a chance to absorb damage in combat."
"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_agi"			"+$agi"
"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_dmg"			"+$damage"
"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_evasion"		"%+$evasion"
"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_attackspeed"	"+$attack"
"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_mvspd_pct"	"%+$move_speed"
"DOTA_Tooltip_Ability_item_burning_butterfly_absorb_chance"		"%ABSORB CHANCE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\burning_butterfly.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\charon_scepter.txt' begin 
"DOTA_Tooltip_Ability_item_charon"						"Charon's Scepter"
"DOTA_Tooltip_Ability_item_charon_Description"			"<h1>Active: Disappear</h1> Unit briefly shifts into another dimension where it is immune from harm and has health regen."
"DOTA_Tooltip_Ability_item_charon_bonus_speed"			"+$move_speed"
"DOTA_Tooltip_Ability_item_charon_bonus_int"			"+$int"
"DOTA_Tooltip_Ability_item_charon_bonus_manaregen"		"+$mana_regen"
"DOTA_Tooltip_Ability_item_charon_hp_regen_pct"			"%ASTRAL REGEN:"

"DOTA_Tooltip_modifier_charon"							"Charon Regeneration"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\charon_scepter.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\crimson_guard.txt' begin 
"DOTA_Tooltip_Ability_item_crimson_guard_2"								"Crimson Guard"
"DOTA_Tooltip_ability_item_crimson_guard_2_Description"					"<h1>Active: Guard</h1> Grants nearby allied heroes a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack, along with %bonus_aoe_armor% armor. Lasts %duration% seconds.\n<h1>Passive: Damage Block</h1> Makes the wielder block damage from each incoming attack based on whether the equipped hero is melee or ranged."
"DOTA_Tooltip_ability_item_crimson_guard_2_Lore"						"A cuirass originally built to protect against the dreaded Year Beast."
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_health"				"+$health"
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_health_regen"			"+$hp_regen"
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_armor"					"+$armor"
"DOTA_Tooltip_ability_item_crimson_guard_2_block_damage_melee"			"BLOCK DAMAGE MELEE:"
"DOTA_Tooltip_ability_item_crimson_guard_2_block_damage_ranged"			"BLOCK DAMAGE RANGED:"
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_aoe_armor"				"GUARD ARMOR:"
"DOTA_Tooltip_ability_item_crimson_guard_2_block_damage_melee_active"	"GUARD DAMAGE BLOCK :"
"DOTA_Tooltip_ability_item_crimson_guard_2_duration"					"GUARD DURATION:"
"DOTA_Tooltip_ability_item_crimson_guard_2_bonus_aoe_radius"			"GUARD RADIUS:"
"DOTA_Tooltip_ability_item_crimson_guard_2_Note0"						"Multiple sources of damage block don't stack."
"DOTA_Tooltip_ability_item_crimson_guard_2_Note1"						"Guard does not affect units that have been affected by Guard in the last 50 seconds."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\crimson_guard.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\damned_eye.txt' begin 
"DOTA_Tooltip_ability_item_damned_eye"									"Damned Eye"
"DOTA_Tooltip_ability_item_damned_eye_Description"						"<h1>Active: Damned Heal</h1> Owner get heal over time in value %heal_const% + (Main Attribute)*%heal_per_main_stat% for a while %time_to_heal% seconds. When hero take damage from any hero, heal disable."
"DOTA_Tooltip_ability_item_damned_eye_all_stats"						"+$all"
"DOTA_Tooltip_ability_item_damned_eye_armor"					        "+$armor"
"DOTA_Tooltip_ability_item_damned_eye_health"				            "+$health"
"DOTA_Tooltip_ability_item_damned_eye_health_regen"				        "+$hp_regen"
"DOTA_Tooltip_ability_item_damned_eye_time_to_heal"				    	"DURATION:"
"DOTA_Tooltip_ability_item_damned_eye_heal_const"				    	"HEAL:"
"DOTA_Tooltip_ability_item_damned_eye_heal_per_main_stat"			    "MAIN ATTRIBUTE MULTIPLIER:"
"DOTA_Tooltip_modifier_damned_eye_active"				                "Healing"

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\damned_eye.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\damned_swords.txt' begin 
"DOTA_Tooltip_Ability_item_damned_swords"      						"Damned Swords"
"DOTA_Tooltip_Ability_item_damned_swords_Description"    			"<h1>Passive: Greater Maim</h1> Each attack has a chance to slow the enemy's movement and attack speed."
"DOTA_Tooltip_Ability_item_damned_swords_bonus_damage"    			"+$damage"
"DOTA_Tooltip_Ability_item_damned_swords_bonus_str"     			"+$str"
"DOTA_Tooltip_Ability_item_damned_swords_bonus_agility"    			"+$agi"
"DOTA_Tooltip_Ability_item_damned_swords_bonus_speed"    			"%+$move_speed"
"DOTA_Tooltip_Ability_item_damned_swords_bonus_attack_speed"  		"+$attack"
"DOTA_Tooltip_Ability_item_damned_swords_curse_chance"    			"%CURSE CHANCE:"
"DOTA_Tooltip_Ability_item_damned_swords_cuse_duration"    			"CURSE DURATION:"
"DOTA_Tooltip_Ability_item_damned_swords_curse_slow"    			"%CURSE SLOW:"
"DOTA_Tooltip_Ability_item_damned_swords_curse_attackspeed"  		"CURSE SLOW ATTACK:"
"DOTA_Tooltip_modifier_curse_damned_swords"       					"Cursed!"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\damned_swords.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\dark_edge.txt' begin 
"DOTA_Tooltip_Ability_item_dark_edge"								"Dark Edge"
"DOTA_Tooltip_modifier_item_dark_edge_windwalk"						"Shadow Walk"
"DOTA_Tooltip_modifier_item_dark_edge_windwalk_Description"			"Makes you invisible until the duration ends, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus damage to the target, disable their passive abilities, and reduce their damage output."
"DOTA_Tooltip_modifier_silver_edge_debuff"							"Shadow Walk Attack"
"DOTA_Tooltip_modifier_silver_edge_debuff_Description"				"Passive abilities disabled, and damage dealt reduced by %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%."
"DOTA_Tooltip_ability_item_dark_edge_Description"					"<h1>Active: Shadow Walk</h1> Makes you invisible until the duration ends, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus damage to the target, disable their passive abilities, and reduce their damage output."
"DOTA_Tooltip_ability_item_dark_edge_bonus_damage"					"+$damage"
"DOTA_Tooltip_ability_item_dark_edge_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_dark_edge_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_dark_edge_maim_chance"					"%MAIM CHANCE:"
"DOTA_Tooltip_ability_item_dark_edge_maim_movement_speed"			"%MAIM MOVE SLOW:"
"DOTA_Tooltip_ability_item_dark_edge_maim_attack_speed"				"MAIM ATTACK SLOW:"
"DOTA_Tooltip_ability_item_dark_edge_maim_duration"					"MAIM DURATION:"
"DOTA_Tooltip_ability_item_dark_edge_windwalk_duration"				"SHADOW WALK DURATION:"
"DOTA_Tooltip_ability_item_dark_edge_windwalk_bonus_damage"			"BONUS ATTACK DAMAGE:"
"DOTA_Tooltip_ability_item_dark_edge_backstab_reduction"			"%ENEMY DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_item_dark_edge_backstab_duration"				"REDUCTION DURATION:"
"DOTA_Tooltip_ability_item_dark_edge_Lore"							"Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
"DOTA_Tooltip_ability_item_dark_edge_Note0"							"Backstab cannot miss."
"DOTA_Tooltip_ability_item_dark_edge_Note1"							"Backstab does not pierce spell immunity."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\dark_edge.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\dead_boots.txt' begin 
"DOTA_Tooltip_Ability_item_dead_boots"								"Dead Boots"
"DOTA_Tooltip_Ability_item_dead_boots_Description"					"Flat movement speed bonuses from multiple pairs of boots do not stack.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_dead_boots_bonus_speed"					"+$move_speed"
"DOTA_Tooltip_Ability_item_dead_boots_bonus_armor"					"+$armor"
"DOTA_Tooltip_Ability_item_dead_boots_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_Ability_item_dead_boots_bonus_stats"					"+$all"
"DOTA_Tooltip_Ability_item_dead_boots_dummy"						"Dead Boots"
"DOTA_Tooltip_Ability_item_dead_boots_dummy_Description"			"Flat movement speed bonuses from multiple pairs of boots do not stack.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_dead_boots_dummy_bonus_speed"			"+$move_speed"
"DOTA_Tooltip_Ability_item_dead_boots_dummy_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_dead_boots_dummy_bonus_hp_regen"			"+$hp_regen"
"DOTA_Tooltip_Ability_item_dead_boots_dummy_bonus_stats"			"+$all"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\dead_boots.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\deaths_mask.txt' begin 
"DOTA_Tooltip_Ability_item_deaths_mask"								"Reaper's Mask"
"DOTA_Tooltip_Ability_item_deaths_mask_Description"					"<h1>Passive: Reaper Lifesteal</h1> Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a radius."
"DOTA_Tooltip_Ability_item_deaths_mask_bonus_regen"					"+$hp_regen"
"DOTA_Tooltip_Ability_item_deaths_mask_bonus_stats"					"+$all"
"DOTA_Tooltip_Ability_item_deaths_mask_radius"						"AURA RADIUS:"
"DOTA_Tooltip_Ability_item_deaths_mask_lifesteal"					"%AURA LIFESTEAL:"
"DOTA_Tooltip_Ability_item_deaths_mask_damage_percent"				"%AURA DAMAGE:"
"DOTA_Tooltip_Ability_item_deaths_mask_bonus_armor"					"AURA ARMOR:"

"DOTA_Tooltip_modifier_deaths_mask_aura"							"Reaper aura"
"DOTA_Tooltip_modifier_deaths_mask_aura_Description"				"Reaper aura provides lifesteal, damage and armor."
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\deaths_mask.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\death_shield.txt' begin 
"DOTA_Tooltip_Ability_item_death_shield"						"Death Shield"
"DOTA_Tooltip_Ability_item_death_shield_Description"			"<h1>Passive: Damage block</h1> Blocks 100 physical damage per source of damage."
"DOTA_Tooltip_Ability_item_death_shield_bonus_hpregen"			"+$hp_regen"
"DOTA_Tooltip_Ability_item_death_shield_bonus_health"			"+$health"	
"DOTA_Tooltip_Ability_item_death_shield_bonus_armor"			"+$armor"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\death_shield.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\devour_helm.txt' begin 
"DOTA_Tooltip_modifier_devour_helm_active"								"Hidden"
"DOTA_Tooltip_modifier_devour_helm_dominated"							"Dominated"
"DOTA_Tooltip_modifier_devour_helm_aura"								"Devour Helm Aura"
"DOTA_Tooltip_ability_item_devour_helm"									"Devour Helm"
"DOTA_Tooltip_ability_item_devour_helm_Description"						"<h1>Active: Hide</h1> Take ally unit to self. Unit can release by any move. Second activation will release unit.\n\n<h1>Active: Dominate</h1> Dominate selected neutral/enemy creep\n"
"DOTA_Tooltip_ability_item_devour_helm_bonus_stats"						"+$all"
"DOTA_Tooltip_ability_item_devour_helm_bonus_attack_speed"				"+$attack"
"DOTA_Tooltip_ability_item_devour_helm_damage"							"+$damage"
"DOTA_Tooltip_ability_item_devour_helm_attack_speed_aura"				"ATTACK SPEED AURA:"
"DOTA_Tooltip_ability_item_devour_helm_hp_regen_aura"					"HP REGEN AURA:"
"DOTA_Tooltip_ability_item_devour_helm_aura_radius"						"AURA RADIUS:"
"DOTA_Tooltip_ability_item_devour_helm_speed_base"						"BASE MOVESPEED:"
"DOTA_Tooltip_ability_item_devour_helm_health_min"						"MIN HEALTH:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\devour_helm.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\dimensional_predictor.txt' begin 
"DOTA_Tooltip_ability_item_dimensional_predictor"								"Dimensional Predictor"
"DOTA_Tooltip_ability_item_dimensional_predictor_Description"					"<h1>Active: Transparent</h1> Hides caster from minimap for %active_duration% seconds\n<h1>Passive: Dimensional Charge</h1> After some time, casters next attack will deal additional magical damage from main attribute."
"DOTA_Tooltip_ability_item_dimensional_predictor_bonus_strength"				"+$str"
"DOTA_Tooltip_ability_item_dimensional_predictor_bonus_attackspeed"				"+$attack"
"DOTA_Tooltip_ability_item_dimensional_predictor_bonus_damage"					"+$damage"
"DOTA_Tooltip_ability_item_dimensional_predictor_bonus_magresist"				"%+$spell_resist"
"DOTA_Tooltip_ability_item_dimensional_predictor_passive_cd"					"Charge cooldown:"
"DOTA_Tooltip_ability_item_dimensional_predictor_passive_damage_att"			"%Charge Damage(Main Att):"
